timestamps,open,high,low,close,volume,amount
2026-03-27 13:30:00,169.99000549316406,170.97000122070312,167.8000030517578,167.85000610351562,56166225.0,9427501209.061432
2026-03-27 14:30:00,167.8300018310547,169.5699005126953,167.5500030517578,169.5699005126953,27603646.0,4680747506.00766
2026-03-27 15:30:00,169.55999755859375,169.94000244140625,168.7100067138672,168.82000732421875,17521361.0,2957956292.350281
2026-03-27 16:30:00,168.80999755859375,169.27000427246094,167.8300018310547,167.83999633789062,16758151.0,2812688002.469818
2026-03-27 17:30:00,167.83999633789062,168.24000549316406,167.61000061035156,168.0,15062395.0,2530482360.0
2026-03-27 18:30:00,168.0050048828125,168.27000427246094,167.22000122070312,167.42999267578125,17650366.0,2955200650.1048584
2026-03-27 19:30:00,167.44000244140625,167.92999267578125,167.00999450683594,167.4600067138672,18119318.0,3034261113.9306946
2026-03-30 13:30:00,168.73500061035156,169.4499969482422,166.2100067138672,166.91000366210938,44328928.0,7398941534.817383
2026-03-30 14:30:00,166.90499877929688,168.25,166.27000427246094,167.0050048828125,25106249.0,4192869236.8341064
2026-03-30 15:30:00,167.0,168.02000427246094,166.35000610351562,166.47500610351562,19964516.0,3323592922.9537354
2026-03-30 16:30:00,166.47999572753906,166.9199981689453,165.80999755859375,165.875,16368311.0,2715093587.125
2026-03-30 17:30:00,165.8699951171875,166.4499969482422,165.58999633789062,165.69500732421875,14207997.0,2354194166.977478
2026-03-30 18:30:00,165.6999969482422,166.07000732421875,164.2949981689453,164.46310424804688,19702372.0,3240313260.1698
2026-03-30 19:30:00,164.46499633789062,165.5399932861328,164.27000427246094,165.05999755859375,18227730.0,3008669069.298706
2026-03-31 13:30:00,166.97000122070312,171.0749969482422,166.9600067138672,170.97999572753906,44954815.0,7686374076.632309
2026-03-31 14:30:00,170.97999572753906,171.3800048828125,169.55999755859375,170.30499267578125,25991642.0,4426506400.441528
2026-03-31 15:30:00,170.3000030517578,171.27999877929688,169.7550048828125,171.0500030517578,18531113.0,3169746935.202469
2026-03-31 16:30:00,171.0500030517578,173.8800048828125,170.7550048828125,173.27499389648438,33199113.0,5752576102.443695
2026-03-31 17:30:00,173.27999877929688,173.72999572753906,172.27999877929688,173.26499938964844,19348274.0,3352378682.8007507
2026-03-31 18:30:00,173.25999450683594,174.27499389648438,173.02000427246094,173.93499755859375,21682792.0,3771396373.583496
2026-03-31 19:30:00,173.92999267578125,174.6199951171875,173.85499572753906,174.3800048828125,20307842.0,3541281587.119385
2026-04-01 13:30:00,176.0,176.60000610351562,174.75999450683594,176.1999969482422,46071243.0,8117752876.001724
2026-04-01 14:30:00,176.19000244140625,177.11500549316406,175.5050048828125,176.48500061035156,22675088.0,4001812919.5197754
2026-04-01 15:30:00,176.47999572753906,177.3699951171875,176.39999389648438,177.10000610351562,15319849.0,2713145351.4049377
2026-04-01 16:30:00,177.10000610351562,177.1649932861328,176.61000061035156,176.6649932861328,11191707.0,1977182842.0153656
