timestamps,open,high,low,close,volume,amount
2026-03-27 13:30:00,128.0,128.32000732421875,127.0199966430664,127.52999877929688,0.0,0.0
2026-03-27 14:30:00,127.54000091552734,128.1300048828125,127.47000122070312,127.56999969482422,382845.0,48839536.53316498
2026-03-27 15:30:00,127.56999969482422,127.97000122070312,127.08999633789062,127.20999908447266,310399.0,39485856.50582123
2026-03-27 16:30:00,127.22000122070312,127.30000305175781,127.0199966430664,127.12999725341797,175685.0,22334833.567466736
2026-03-27 17:30:00,127.12999725341797,127.20999908447266,126.58999633789062,126.88999938964844,268586.0,34080877.376068115
2026-03-27 18:30:00,126.88999938964844,127.02999877929688,126.69999694824219,127.0,259849.0,33000823.0
2026-03-27 19:30:00,126.98999786376953,127.08999633789062,126.45999908447266,126.8499984741211,390772.0,49569427.60372925
2026-03-30 13:30:00,127.56999969482422,128.57000732421875,127.55999755859375,128.3000030517578,0.0,0.0
2026-03-30 14:30:00,128.3000030517578,128.75999450683594,127.87999725341797,128.61000061035156,380852.0,48981375.95245361
2026-03-30 15:30:00,128.6199951171875,128.9199981689453,128.17999267578125,128.2899932861328,270254.0,34670883.84555054
2026-03-30 16:30:00,128.27000427246094,128.3800048828125,127.83000183105469,127.83000183105469,165983.0,21217607.19392395
2026-03-30 17:30:00,127.8499984741211,128.0399932861328,127.71499633789062,127.71499633789062,189426.0,24192540.89630127
2026-03-30 18:30:00,127.71499633789062,127.7699966430664,127.0999984741211,127.12000274658203,242776.0,30861685.7868042
2026-03-30 19:30:00,127.12999725341797,127.63999938964844,127.12999725341797,127.63999938964844,339732.0,43363392.27264404
2026-03-31 13:30:00,128.7899932861328,129.1999969482422,128.2100067138672,128.49000549316406,0.0,0.0
2026-03-31 14:30:00,128.5,128.55999755859375,127.6500015258789,128.11000061035156,519930.0,66608232.61734009
2026-03-31 15:30:00,128.11000061035156,128.72999572753906,127.95999908447266,128.6199951171875,321397.0,41338080.57067871
2026-03-31 16:30:00,128.6199951171875,129.72999572753906,128.5399932861328,129.41000366210938,508618.0,65820257.242614746
2026-03-31 17:30:00,129.41000366210938,129.5500030517578,129.13999938964844,129.32000732421875,303977.0,39310307.86639404
2026-03-31 18:30:00,129.32000732421875,129.52000427246094,129.19000244140625,129.41000366210938,339750.0,43967048.74420166
2026-03-31 19:30:00,129.4199981689453,129.88999938964844,129.3800048828125,129.88999938964844,537721.0,69844580.36180115
2026-04-01 13:30:00,131.0,131.39999389648438,130.4499969482422,130.8000030517578,0.0,0.0
2026-04-01 14:30:00,130.80999755859375,131.41000366210938,130.7100067138672,131.1300048828125,352777.0,46259649.732543945
2026-04-01 15:30:00,131.11000061035156,131.41000366210938,131.02999877929688,131.32000732421875,327546.0,43013343.119018555
2026-04-01 16:30:00,131.3300018310547,131.52999877929688,131.2899932861328,131.4600067138672,192116.0,25255570.64984131
2026-04-01 17:30:00,131.47000122070312,131.57000732421875,130.92999267578125,130.9499969482422,299131.0,39171203.537124634
2026-04-01 18:30:00,130.9499969482422,131.5500030517578,130.94500732421875,131.5399932861328,263999.0,34726426.68754578
2026-04-01 19:30:00,131.52999877929688,131.72999572753906,131.32000732421875,131.42999267578125,576242.0,75735481.83947754
2026-04-02 13:30:00,130.1999969482422,131.35000610351562,129.89999389648438,131.3000030517578,0.0,0.0
2026-04-02 14:30:00,131.27000427246094,132.22000122070312,131.27000427246094,131.63999938964844,518931.0,68312076.52326965
2026-04-02 15:30:00,131.66000366210938,131.9199981689453,131.52000427246094,131.72000122070312,206462.0,27195174.89202881
2026-04-02 16:30:00,131.72999572753906,132.3699951171875,131.7100067138672,132.3300018310547,346799.0,45891912.305007935
2026-04-02 17:30:00,132.35000610351562,132.3699951171875,131.97999572753906,132.0399932861328,181329.0,23942679.942581177
2026-04-02 18:30:00,132.07000732421875,132.3800048828125,132.02000427246094,132.3300018310547,183250.0,24249472.83554077
2026-04-02 19:30:00,132.32000732421875,132.6999969482422,132.2899932861328,132.5399932861328,318595.0,42226579.16099548
2026-04-06 13:30:00,132.49000549316406,133.47999572753906,132.32000732421875,133.22999572753906,0.0,0.0
2026-04-06 14:30:00,133.24000549316406,133.4199981689453,132.92999267578125,132.92999267578125,160216.0,21297511.70654297
2026-04-06 15:30:00,132.9199981689453,133.3000030517578,132.82000732421875,133.28500366210938,129456.0,17254543.43408203
2026-04-06 16:30:00,133.28500366210938,133.39999389648438,132.91000366210938,132.97999572753906,162614.0,21624409.025238037
2026-04-06 17:30:00,132.9600067138672,133.2550048828125,132.8000030517578,133.24000549316406,146022.0,19455972.082122803
2026-04-06 18:30:00,133.24000549316406,133.39999389648438,133.13999938964844,133.22000122070312,131746.0,17551202.280822754
2026-04-06 19:30:00,133.22999572753906,133.50999450683594,133.2100067138672,133.44000244140625,242550.0,32365872.592163086
2026-04-07 13:30:00,133.72999572753906,134.13999938964844,132.86000061035156,134.13999938964844,0.0,0.0
2026-04-07 14:30:00,134.14999389648438,134.69000244140625,133.49000549316406,133.92999267578125,388241.0,51997114.28643799
2026-04-07 15:30:00,133.94000244140625,134.35000610351562,133.50999450683594,134.2899932861328,254642.0,34195872.47036743
2026-04-07 16:30:00,134.2899932861328,134.4199981689453,134.05999755859375,134.1999969482422,158411.0,21258755.716567993
2026-04-07 17:30:00,134.25,134.75,134.25,134.52999877929688,245827.0,33071106.009918213
