timestamps,open,high,low,close,volume,amount
2026-03-09 13:30:00,666.3900146484375,667.6300048828125,662.3900146484375,664.0599975585938,21505293.0,14280804817.076843
2026-03-09 14:30:00,664.030029296875,669.9199829101562,663.97998046875,669.77001953125,11546091.0,7733225594.57959
2026-03-09 15:30:00,669.77001953125,671.5999755859375,668.3699951171875,670.8699951171875,8868302.0,5949477719.437744
2026-03-09 16:30:00,670.8699951171875,672.25,668.7100219726562,668.844970703125,8907547.0,5957768012.251709
2026-03-09 17:30:00,668.8400268554688,670.8699951171875,668.0900268554688,670.0599975585938,8192624.0,5489549617.438477
2026-03-09 18:30:00,670.0599975585938,677.5150146484375,669.9000244140625,677.3900146484375,16903181.0,11450046025.19519
2026-03-09 19:30:00,677.3699951171875,679.9199829101562,675.8800048828125,678.2999877929688,16099713.0,10920435131.3703
2026-03-10 13:30:00,677.719970703125,678.7849731445312,674.760009765625,677.6199951171875,14084370.0,9543850730.628662
2026-03-10 14:30:00,677.6400146484375,681.6849975585938,677.6300048828125,681.1099853515625,9403537.0,6404842948.322876
2026-03-10 15:30:00,681.0999755859375,681.9498901367188,679.6799926757812,680.5999755859375,7262968.0,4943175843.481445
2026-03-10 16:30:00,680.6099853515625,683.3599853515625,680.6099853515625,683.2650146484375,9090930.0,6211514419.61792
2026-03-10 17:30:00,683.25,683.25,677.3800048828125,679.3499755859375,15209801.0,10332777938.016968
2026-03-10 18:30:00,679.3150024414062,680.3699951171875,677.4099731445312,677.4099731445312,9507897.0,6440744251.430969
2026-03-10 19:30:00,677.4199829101562,678.3200073242188,676.22998046875,677.0499877929688,10409992.0,7048084956.524902
2026-03-11 13:30:00,677.5800170898438,680.0800170898438,675.1950073242188,676.1500244140625,14729721.0,9959501213.76233
2026-03-11 14:30:00,676.1400146484375,678.6400146484375,674.5900268554688,674.6699829101562,8480186.0,5721326943.694946
2026-03-11 15:30:00,674.6799926757812,675.2899780273438,673.510009765625,674.7050170898438,7579835.0,5114152703.213196
